author,work,word count
plutarch,de_liberis_educandis,6200
plutarch,de_primo_frigido,5072
plutarch,de_pythiae_oraculis,7199
plutarch,de_recta_ratione_audiendi,5167
plutarch,de_se_ipsum_citra_invidiam_laudando,4076
plutarch,de_sera_numinis_vindicta,9432
plutarch,de_sollertia_animalium,11990
plutarch,de_stoicorum_repugnantis,12215
plutarch,de_superstitione,3365
plutarch,de_tranquilitate_animi,6103
plutarch,demetrius,12771
plutarch,epitome_argumenti_stoicos,514
plutarch,epitome_libri_de_animae_procreatione,1204
plutarch,fabius_maximus,7979
plutarch,galba,6390
plutarch,instituta_laconica,1698
plutarch,lacaenarum_apophthegmata,1158
plutarch,lucullus,13833
plutarch,lycurgus,9697
plutarch,marcellus,8729
plutarch,marcus_cato,8495
plutarch,maxime_cum_princibus_philsopho_esse_diserendum,1538
plutarch,mulierum_virtutes,9482
plutarch,nicias,9398
plutarch,non_posse_suaviter_vivi_secundum_epicurum,9805
plutarch,numa,7768
plutarch,otho,4297
plutarch,parallela_minora,4810
plutarch,pelopidas,9750
plutarch,pericles,10397
plutarch,philopoemen,5910
plutarch,phocion,8461
plutarch,platonicae_quaestiones,6252
plutarch,pompey,20885
plutarch,praecepta_gerendae_reipublicae,12494
plutarch,publicola,6052
plutarch,pyrrhus,11258
plutarch,quaestiones_convivales,61710
plutarch,quaestiones_graecae,6117
plutarch,quaestiones_naturales,4872
plutarch,quaestiones_romanae,13789
plutarch,quomodo_adolescens_poetas_audire_debeat,9892
plutarch,quomodo_adulator_ab_amico_internoscatur,11856
plutarch,quomodo_quis_suos_in_virtute_sentiat_profectus,5094
plutarch,regum_et_imperatorum_apophthegmata,16916
plutarch,romulus,9544
plutarch,septem_sapientium_convivium,8775
plutarch,sertorius,6905
plutarch,solon,8869
plutarch,sulla,11901
plutarch,themistocles,8197
plutarch,theseus,7680
plutarch,tiberius_gracchus,5222
plutarch,timoleon,9381
plutarch,titus_flamininus,6033
plutarch,vitae_decem_oratorum,9121
plutarch_pseudo,de_musica,8053
plutarch_pseudo,placita_philosophorum,15856
polignac,antilucretius,102840
polignac,epia,56527
polignac,imitatio,6052
polybius,histories,324354
priscian,carmen_in_laudem_Anastasii_imperatoris,6114
priscian,perihegesis,17980
propertius,elegies,29774
prudentius,apotheosis,9831
prudentius,contra_symmachum,15948
prudentius,dittochaeon,1642
prudentius,epilogus,203
prudentius,hamartigenia,8491
prudentius,psychomachia,7974
pseudo_cicero,in_sallustium,1903
pseudo_quintilian,major_declamations,68375
q_cicero,on_running_for_consul,4524
quintilian,institutio_oratoria,180193
quintus_smyrnaeus,fall_of_troy,77756
rutilius,de_reditu,6108
sallust,catilina,11565
sallust,histories,4445
sallust,jugurtha,22784
scriptores_historiae_augustae,historia_augusta,75240
seneca,ad_lucilium_epistulae_morales,124284
seneca,agamemnon,7595
seneca,apocolocyntosis,3033
seneca,de_beneficiis,47422
seneca,de_brevitate_vitae,6495
seneca,de_clementia,8654
seneca,de_consolatione_ad_helviam,7128
seneca,de_consolatione_ad_marciam,8575
seneca,de_consolatione_ad_polybium,5964
seneca,de_constantia,5451
seneca,de_ira,23355
seneca,de_otio,2069
seneca,de_providentia,4228
seneca,de_tranquillitate_animi,7833
seneca,de_vita_beata,7666
seneca,hercules_furens,11711
seneca,hercules_oetaeus,17301
seneca,medea,7716
seneca,octavia,7184
seneca,oedipus,7976
seneca,phaedra,9732
seneca,phoenissae,5421
seneca,thyestes,8503
seneca,troades,9146
seneca_the_elder,controversiae,66788
seneca_the_elder,excerpta_controversiae,21421
seneca_the_elder,fragmenta,156
seneca_the_elder,suasoriae,10380
servius_honoratus,in_virgilii_georgicon_libros_commentarius,55651
silius_italicus,punica,88495
sophocles,ajax,10629
sophocles,antigone,9877
sophocles,electra,11562
sophocles,ichneutae,3241
sophocles,oedipus_at_colonus,13680
sophocles,oedipus_tyrannus,12172
sophocles,philoctetes,11572
sophocles,trachiniae,9747
statius,achilleid,9458
statius,silvae,31684
statius,thebaid,81966
strabo,geography,287084
suetonius,de_vita_caesarum,74158
tacitus,agricola,7164
tacitus,annales,90342
tacitus,de_origine_et_situ_germanorum_liber,5883
tacitus,dialogus_de_oratoribus,9760
tacitus,historiae,52270
terence,adelphi,10222
terence,andria,10164
terence,eunuchus,11260
terence,heautontimorumenos,11092
terence,hecyra,9202
terence,phormio,10720
tertullian,apologeticum,20784
tertullian,de_spectaculis,6419
theocritus,epigrams,2273
theocritus,idylls,24886
theophrastus,characters,7319
thucydides,peleponnesian_war,157559
tibullus,elegies,14294
tryphiodorus,the_taking_of_ilios,4923
valerius_flaccus,argonautica,48442
valerius_maximus,facta_et_dicta_memorabilia,82112
vergil,aeneid,83511
vergil,eclogues,7271
vergil,georgics,18520
vitruvius,de_architectura,58659
xenophon,anabasis,60109
